"Subject","Operation","LogonUserDisplayName","LastAccessed","DestFolderPathName","FolderPathName","ClientInfoString","ClientIPAddress","ClientMachineName","ClientProcessName","ClientVersion","LogonType","MailboxResolvedOwnerName","OperationResult","CrossMailboxOp"
"PAST DUE LETTER - DO NOT REPLY","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"PAST DUE LETTER - DO NOT REPLY","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"PAST DUE LETTER - DO NOT REPLY","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Items from your Staples order #7369313705 are out for delivery","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Items from your Staples order #7369313705 are out for delivery","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"PAST DUE LETTER - DO NOT REPLY","Create","Seth Cox","2/4/2023 11:13:41 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Items from your Staples order #7369313705 are out for delivery","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Items from your Staples order #7369313705 are out for delivery","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"1,000s of Rollbacks on gifts 🤩","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"1,000s of Rollbacks on gifts 🤩","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"You could win a trip to Universal Orlando Resort! 🎢","Create","Seth Cox","2/4/2023 11:13:29 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
